139;IMPASSE DES VIGNERONS;IMPASSE DES VIGNERONS;9654D;;1;0;16;0;25;1;N
140;IMPASSE DU CALVAIRE;RUE DU CALVAIRE;SU04E;;1;0;10;0;23;1;O
141;IMPASSE DU CYGNE;IMPASSE DU CYGNE;1590N;;1;0;11;0;5;1;N
142;IMPASSE DU FOUR;IMPASSE DU FOUR;3560E;;1;0;14;0;3;1;N
143;IMPASSE SAINT-MAURICE;IMPASSE DU PAS SAINT-MAURICE;SU22E;;0;0;9999;0;23;1;O
144;IMPASSE SENTOU;IMPASSE SENTOU;SU23E;;0;0;9999;0;16;1;O
145;MEMORIAL FRANCE COMBATTANTE;MEMORIAL FRANCE COMBATTANTE;SU26E;;1;0;10;0;24;1;O
146;PASSAGE DES CLOSEAUX;PASSAGE DES CLOSEAUX;1516H;;1;0;10;0;10;1;O
147;PASSAGE DES PETITS CLOS;PASSAGE DES PETITS CLOS;7196G;;1;0;21;0;10;1;N
148;PASSAGE DU PANORAMA;PAS DU PANORAMA;7125E;;1;0;22;0;24;1;N
149;PASSAGE DU VAL D'OR;PASSAGE DU VAL D'OR;9610F;;1;0;18;0;8;1;N
150;PASSAGE GARE DE SURESNES;PAS DE LA GARE SURESNES LONGCHAM;SU09E;;1;0;12;0;2;1;N
151;PASSAGE PIERRE LOTI;PASSAGE PIERRE LOTI;7214B;;1;0;9;0;10;1;N
152;PLACE DE KEIGHLEY;PLACE DE KEIGHLEY;5031D;;1;0;10;0;16;1;O
153;PLACE DE LA HALLE;PLACE DE LA HALLE;SU37E;;1;0;7;0;28;1;N
154;PLACE DE LA HUCHETTE;PLACE DE LA HUCHETTE;4479D;;1;0;2;0;3;1;O
155;PLACE DE LA PAIX;PLACE DE LA PAIX;7115U;;0;0;10;0;28;1;N
156;PLACE DE LA PREVOTE;PLACE DE LA PREVOTE;7265G;;0;0;9999;0;5;1;O
157;PLACE DE LA REPUBLIQUE;PLACE DE LA REPUBLIQUE;8130X;;1;0;97;0;8;1;O
158;PLACE DE STALINGRAD;PLACE DE STALINGRAD;8585S;I;1;0;5;0;31;1;N
159;PLACE DE STALINGRAD;PLACE DE STALINGRAD;8585S;P;2;0;4;0;32;1;N
160;PLACE DES TRES BOURGEOIS;PLACE DES TRES BOURGEOIS;9170C;;1;0;10;0;21;1;O
