id;address;new_address;match
435;RUE ROUGET DE LISLE;RUE ROUGET DE LISLE;True
436;RUE ROUGET DE LISLE;RUE ROUGET DE LISLE;True
437;RUE SALOMON DE ROTHSCHILD;RUE SALOMON DE ROTHSCHILD;True
438;RUE VICTOR DIEDERICH;RUE VICTOR DIEDERICH;True
439;RUE VICTOR HUGO;RUE VICTOR HUGO;True
440;RUE VOLTAIRE;RUE VOLTAIRE;True
441;RUE WORTH;RUE WORTH;True
442;SENTE DE LA MOTTE;;False
443;SENTE DES SORBIERS;SENTE DES SORBIERS;True
444;SQ. DES COMBATTANTS AFR.NORD;;False
445;SQ. DU COL. SPURGEON C.BOYD;;False
446;SQUARE DE LA CONCORDE;SQUARE DE LA CONCORDE;True
447;SQUARE DES TOURTERELLES;SQUARE DES TOURTERELLES;True
448;SQUARE SISLEY;;False
449;THEATRE DE SURESNES JEAN VILAR;;False
450;VILLA DE LA STATION;VILLA DE LA STATION;True
